ASCII data file created with TiePie Multi Channel software. www.tiepie.com.
2020-04-30 09:24:23 094m





Relative time;HS4-50(17297).Kladivko;HS4-50(17297).Snimac1;HS4-50(17297).Snimac2
s;V;V;V
-0.04872704;-5.1E-5;6.3E-5;0.0081
-0.04872192;2.5E-5;5.7E-5;0.0083
-0.0487168;2.5E-5;6.9E-5;0.0083
-0.04871168;-2.5E-5;-1.3E-5;0.0081
-0.04870656;-7.6E-5;3.1E-5;0.0083
-0.04870144;-2.5E-5;5.7E-5;0.0078
-0.04869632;5.1E-5;0.00011;0.0078
-0.0486912;-2.5E-5;0.00013;0.0086
-0.04868608;2.5E-5;0.00018;0.0086
-0.04868096;-5.1E-5;0.00026;0.0078
-0.04867584;-2.5E-5;0.00029;0.0076
-0.04867072;-0.0001;0.00021;0.0073
-0.0486656;-0.0001;0.00019;0.0073
-0.04866048;-2.5E-5;0.00014;0.0073
-0.04865536;-7.6E-5;8.8E-5;0.0078
-0.04865024;-7.6E-5;5E-5;0.0073
-0.04864512;-0.0001;3.8E-5;0.0078
-0.04864;-2.5E-5;6.3E-5;0.0068
-0.04863488;-2.5E-5;0.00014;0.0073
-0.04862976;-5.1E-5;0.00019;0.0068
-0.04862464;-0.00015;0.00026;0.0076
-0.04861952;-5.1E-5;0.00016;0.0078
-0.0486144;-2.5E-5;8.2E-5;0.0073
-0.04860928;0;0.00016;0.0073
-0.04860416;-2.5E-5;0.00014;0.0078
-0.04859904;5.1E-5;0.00016;0.0078
-0.04859392;2.5E-5;0.00021;0.0081
-0.0485888;0;0.00023;0.0078
-0.04858368;2.5E-5;0.00019;0.0076
-0.04857856;-5.1E-5;0.00013;0.0076
-0.04857344;7.6E-5;0.00014;0.0076
-0.04856832;2.5E-5;0.00013;0.0078
-0.0485632;7.6E-5;5E-5;0.0076
-0.04855808;0.0001;7.5E-5;0.0076
-0.04855296;-2.5E-5;0.00011;0.0078
-0.04854784;2.5E-5;0.00019;0.0071
-0.04854272;2.5E-5;0.00016;0.0073
-0.0485376;0;0.00016;0.0078
-0.04853248;5.1E-5;0.00014;0.0086
-0.04852736;-2.5E-5;0.00019;0.0083
-0.04852224;-2.5E-5;0.00021;0.0073
-0.04851712;0;0.00017;0.0078
-0.048512;-7.6E-5;0.00015;0.0078
-0.04850688;5.1E-5;6.9E-5;0.0083
-0.04850176;5.1E-5;-6.3E-6;0.0081
-0.04849664;-5.1E-5;1.3E-5;0.0076
-0.04849152;-2.5E-5;8.2E-5;0.0071
-0.0484864;5.1E-5;5.7E-5;0.0078
-0.04848128;-5.1E-5;8.8E-5;0.0081
-0.04847616;5.1E-5;6.3E-5;0.0078
-0.04847104;2.5E-5;1.3E-5;0.0078
-0.04846592;0;0.0001;0.0083
-0.0484608;2.5E-5;0.00014;0.0081
-0.04845568;0;0.00019;0.0078
-0.04845056;-2.5E-5;0.00019;0.0076
-0.04844544;2.5E-5;0.00012;0.0081
-0.04844032;2.5E-5;1.9E-5;0.0078
-0.0484352;2.5E-5;2.5E-5;0.0073
-0.04843008;0;1.9E-5;0.0078
-0.04842496;0;4.4E-5;0.0078
-0.04841984;-7.6E-5;8.2E-5;0.0083
-0.04841472;-7.6E-5;1.3E-5;0.0081
-0.0484096;5.1E-5;5.7E-5;0.0078
-0.04840448;2.5E-5;0.00013;0.0076
-0.04839936;5.1E-5;0.00023;0.0078
-0.04839424;5.1E-5;0.00024;0.0081
-0.04838912;7.6E-5;0.0002;0.0078
-0.048384;7.6E-5;0.00021;0.0086
-0.04837888;2.5E-5;0.00021;0.0086
-0.04837376;0;0.00014;0.0081
-0.04836864;0;0.00018;0.0078
-0.04836352;-2.5E-5;0.00015;0.0083
-0.0483584;5.1E-5;0.00016;0.0081
-0.04835328;0.0001;0.00019;0.0083
-0.04834816;0;0.00014;0.0076
-0.04834304;0;0.0001;0.0078
-0.04833792;2.5E-5;7.5E-5;0.0081
-0.0483328;2.5E-5;0.00013;0.0081
-0.04832768;5.1E-5;0.0001;0.0078
-0.04832256;2.5E-5;0.00016;0.0086
-0.04831744;5.1E-5;0.00019;0.0081
-0.04831232;0;0.00021;0.0081
-0.0483072;0;0.00019;0.0083
-0.04830208;-2.5E-5;0.00023;0.0083
-0.04829696;-7.6E-5;0.00027;0.0073
-0.04829184;-5.1E-5;0.00027;0.0071
-0.04828672;0;0.0002;0.0076
-0.0482816;0.0001;0.00016;0.0076
-0.04827648;0;0.00016;0.0076
-0.04827136;0.0001;0.00014;0.0081
-0.04826624;-5.1E-5;0.00011;0.0076
-0.04826112;-5.1E-5;0.00013;0.0076
-0.048256;-0.00013;0.00016;0.0073
-0.04825088;-0.0001;0.00015;0.0076
-0.04824576;2.5E-5;0.00016;0.0076
-0.04824064;0;0.00018;0.0076
-0.04823552;-2.5E-5;0.00013;0.0078
-0.0482304;-0.0001;0.00013;0.0078
-0.04822528;-7.6E-5;0.00013;0.0071
-0.04822016;-2.5E-5;0.00016;0.0081
-0.04821504;7.6E-5;0.00018;0.0081
-0.04820992;0;0.00016;0.0078
-0.0482048;-0.0001;0.00016;0.0076
-0.04819968;-0.0001;0.00014;0.0076
-0.04819456;-2.5E-5;0.00014;0.0083
-0.04818944;-0.0001;0.00018;0.0078
-0.04818432;-5.1E-5;0.00011;0.0083
-0.0481792;0;9.4E-5;0.0078
-0.04817408;0;6.3E-5;0.0076
-0.04816896;-5.1E-5;4.4E-5;0.0078
-0.04816384;-2.5E-5;5E-5;0.0081
-0.04815872;2.5E-5;8.8E-5;0.0078
-0.0481536;5.1E-5;0.00017;0.0071
-0.04814848;-2.5E-5;0.00018;0.0078
-0.04814336;2.5E-5;0.00014;0.0078
-0.04813824;5.1E-5;0.00015;0.0078
-0.04813312;0;0.00016;0.0078
-0.048128;2.5E-5;0.00012;0.0081
